title,not discounted price,discount,price,developer,extraction date
Lego DC Super-Villains Deluxe Edition,55€,-90%,5.72€,TT GamesFeral Interactive (Mac),2022-11-22 22:54:59.058122
The Walking Dead: The Telltale Definitive Series,50€,-90%,5.24€,Skybound Games,2022-11-22 22:55:00.154307
Cobra Kai: The Karate Kid Saga Continues,20€,-90%,1.93€,Flux Games,2022-11-22 22:55:01.223078
Shenmue III,30€,-90%,2.99€,YS Net,2022-11-22 22:55:02.684069
Age of Wonders III Collection - Europe,62€,-90%,5.99€,Triumph Studios,2022-11-22 22:55:04.174479
Beyond The Wire,30€,-90%,2.92€,Redstone Interactive,2022-11-22 22:55:06.007000
Cyber Hook,12€,-90%,1.19€,Blazing Stick,2022-11-22 22:55:07.407383
Partisans 1941,30€,-90%,2.99€,Alter Games,2022-11-22 22:55:09.183444
Ring of Pain,20€,-90%,1.99€,Simon BoxerTwice Different,2022-11-22 22:55:10.961569
Car Mechanic Simulator 2015,20€,-90%,1.90€,Red Dot Games,2022-11-22 22:55:12.066150
Civilization VI - Ethiopia Pack - Europe,60€,-90%,5.99€,Firaxis GamesAspyr (Mac)Aspyr (Linux),2022-11-22 22:55:14.717275
Unreal Deal Pack,37€,-90%,3.69€,"Epic Games, Inc.",2022-11-22 22:55:15.718438
Borderlands 2: Mr. Torgue’s Campaign of Carnage,10€,-90%,1.00€,Gearbox SoftwareAspyr (Mac)Aspyr (Linux),2022-11-22 22:55:17.147434
Borderlands 2: Mechromancer Pack,10€,-90%,1.00€,Gearbox SoftwareAspyr (Mac)Aspyr (Linux),2022-11-22 22:55:18.421393
The Sojourn,22€,-90%,2.12€,Shifting Tides,2022-11-22 22:55:19.598472
Pillars of Eternity: Hero Edition,28€,-90%,2.79€,Obsidian Entertainment,2022-11-22 22:55:20.633327
Endless Space - Collection,10€,-90%,1.00€,AMPLITUDE Studios,2022-11-22 22:55:21.695107
Sid Meier's Pirates!,10€,-90%,1.00€,Firaxis Games,2022-11-22 22:55:22.844382
Fury Unleashed,20€,-90%,1.99€, Awesome Games Studio,2022-11-22 22:55:25.429840
NASCAR Heat 4,12€,-90%,1.21€,Monster Games,2022-11-22 22:55:26.575055
This War of Mine,19€,-90%,1.89€,11 bit studios,2022-11-22 22:55:28.388423
Batman: Arkham Collection, 60€,-90%,6.08€,Rocksteady Studios,2022-11-22 22:55:29.485296
Hellpoint,30€,-90%,2.99€,Cradle Games,2022-11-22 22:55:31.420694
Iron Danger,20€,-90%,1.99€,Action Squad Studios,2022-11-22 22:55:32.827045
The Coma 2: Vicious Sisters,15€,-90%,1.56€,Devespresso Games,2022-11-22 22:55:34.057624
GemCraft - Frostborn Wrath,12€,-90%,1.11€,Game in a Bottle,2022-11-22 22:55:35.811186
Gauntlet,20€,-90%,1.99€,Arrowhead Game Studios,2022-11-22 22:55:39.720008
One Punch Man: A Hero Nobody Knows - Europe,50€,-90%,4.99€,"Spike Chunsoft Co., Ltd.",2022-11-22 22:55:41.099978
Monster Energy Supercross - The Official Videogame 3,30€,-90%,3.11€,Milestone S.r.l.,2022-11-22 22:55:42.287194
AVICII Invector,20€,-90%,1.99€,Hello There Games,2022-11-22 22:55:43.663167
