title,not discounted price,discount,price,developer,extraction date
Demolish & Build 2017,20€,-87%,2.50€,Noble Muffins,2022-11-22 23:13:10.433586
Naruto Shippuden: Ultimate Ninja Storm Legacy,137€,-87%,18.17€,CyberConnect2 Co. Ltd.,2022-11-22 23:13:11.856417
MX vs ATV All Out,40€,-87%,5.33€,Rainbow Studios,2022-11-22 23:13:13.034306
Beat Cop,15€,-87%,1.99€,Pixel Crow,2022-11-22 23:13:14.355223
Quarantine,10€,-87%,1.33€,Sproing,2022-11-22 23:13:17.050165
The Swords of Ditto,15€,-87%,1.99€,onebitbeyond,2022-11-22 23:13:18.070821
Pro Cycling Manager 2017,10€,-87%,1.26€,Cyanide Studio,2022-11-22 23:13:19.430347
Lock's Quest,15€,-87%,1.99€,Digital Continue,2022-11-22 23:13:21.128732
Quantum Replica,8€,-87%,1.00€,ON3D Studios,2022-11-22 23:13:23.573524
Ni No Kuni II: Revenant Kingdom - Europe, 60€,-87%,7.99€,Level-5,2022-11-22 23:13:25.296117
